city,city_ascii
Berdiansk,Berdiansk
Barnoi,Barnoi
Mingəçevir,Mingacevir
Sītāmarhi,Sitamarhi
Saijō,Saijo
Idkū,Idku
Sông Cầu,Song Cau
Kiryū,Kiryu
Yevpatoriia,Yevpatoriia
Semāri,Semari
Gangāwati,Gangawati
Maluñgun,Malungun
Šabac,Sabac
Jamālpur,Jamalpur
Sloviansk,Sloviansk
Ndjamba,Ndjamba
Makrāna,Makrana
Ourense,Ourense
Aliağa,Aliaga
Włocławek,Wloclawek
Wałbrzych,Walbrzych
Tādepallegūdem,Tadepallegudem
Bānsbāria,Bansbaria
Būndi,Bundi
Itanhaém,Itanhaem
Camboriú,Camboriu
Amarāvati,Amaravati
Ōnojō,Onojo
Hōyachō,Hoyacho
Guihulñgan,Guihulngan
Kāshmar,Kashmar
Aurangābād,Aurangabad
Joünié,Jounie
Mositai,Mositai
Rishīkesh,Rishikesh
Shibuya,Shibuya
Şabrātah,Sabratah
Lahān,Lahan
Fugangcun,Fugangcun
Dhangaḍhi̇̄,Dhangadhi
Shūshtar,Shushtar
Kapūrthala,Kapurthala
Boryeong,Boryeong
Akyazı,Akyazi
Châu Đốc,Chau Doc
Rāneswar,Raneswar
Brājarājnagar,Brajarajnagar
Sūjāngarh,Sujangarh
Chilakalūrupet,Chilakalurupet
Ngã Bảy,Nga Bay
Hồng Ngự,Hong Ngu
Suruç,Suruc
Kāranja,Karanja
Xırdalan,Xirdalan
Bỉm Sơn,Bim Son
Aşağıçinik,Asagicinik
Yên Bái,Yen Bai
Weifen,Weifen
Itauguá,Itaugua
Kawachinagano,Kawachinagano
Talipao,Talipao
Bāmyān,Bamyan
Banzhuangcun,Banzhuangcun
Ra’s Ghārib,Ra's Gharib
Gwelej,Gwelej
Babīlē,Babile
Suramāla,Suramala
Khambhāliya,Khambhaliya
Kundli,Kundli
Sololá,Solola
Kadaiyanallūr,Kadaiyanallur
Ōmura,Omura
Itārsi,Itarsi
Izumisano,Izumisano
Khamīs Mushayţ,Khamis Mushayt
Sievierodonetsk,Sievierodonetsk
Kohīma,Kohima
Mīāneh,Mianeh
Zelënodol’sk,Zelenodol'sk
Senahú,Senahu
Khambhāt,Khambhat
Itoshima,Itoshima
M’lang,M'lang
Rāmnagar,Ramnagar
Nanxicun,Nanxicun
Paulínia,Paulinia
Errachidia,Errachidia
Gambēla,Gambela
Kallūru,Kalluru
Kōnan,Konan
Dongducheon,Dongducheon
Munakata,Munakata
Didim,Didim
Bodināyakkanūr,Bodinayakkanur
Kāzerūn,Kazerun
Sangolquí,Sangolqui
Mthatha,Mthatha
Chārīkār,Charikar
Sardārshahr,Sardarshahr
Dhuliān,Dhulian
Zerakpur,Zerakpur
Shirē,Shire
Hương Thủy,Huong Thuy
Pedagādi,Pedagadi
Nagīna,Nagina
Chākdaha,Chakdaha
Emmiganūr,Emmiganur
Yalamakūru,Yalamakuru
Naxçıvan,Naxcivan
Rawānduz,Rawanduz
Vāniyambādi,Vaniyambadi
Meizichong,Meizichong
Nābha,Nabha
Lingwala,Lingwala
Herẕliyya,Herzliyya
Greenburgh,Greenburgh
Dhār,Dhar
Ziftá,Zifta
Sanjō,Sanjo
Inagi,Inagi
Lysychansk,Lysychansk
Yotsukaidō,Yotsukaido
Kalamariá,Kalamaria
Ōbu,Obu
Sa’ada,Sa'ada
Ţurayf,Turayf
Sinendé,Sinende
Phú Thọ,Phu Tho
Pīrānshahr,Piranshahr
Samālūţ,Samalut
Mīzan Teferī,Mizan Teferi
Māndvi,Mandvi
Rāyachoti,Rayachoti
Avaré,Avare
Pāloncha,Paloncha
Alafaya,Alafaya
Rāmagiri Udayagiri,Ramagiri Udayagiri
Ponnāni,Ponnani
Jāmtāra,Jamtara
Imizuchō,Imizucho
Nasatta,Nasatta
Pollāchi,Pollachi
Kāvali,Kavali
Léogâne,Leogane
Kōka,Koka
Glyfáda,Glyfada
Ţarţūs,Tartus
Zhunan,Zhunan
Ségbana,Segbana
Léré,Lere
Phusro,Phusro
Kūhdasht,Kuhdasht
Kairāna,Kairana
Danlí,Danli
Mayagüez,Mayaguez
Gueznaia,Gueznaia
Rāsipuram,Rasipuram
Najībābād,Najibabad
Nirāla,Nirala
Béja,Beja
Níkaia,Nikaia
Janzūr,Janzur
Sangrūr,Sangrur
Qiantangcun,Qiantangcun
Maiquetía,Maiquetia
Mettupālaiyam,Mettupalaiyam
Farīdkot,Faridkot
Słupsk,Slupsk
Palangotu Adwār,Palangotu Adwar
Şatrovka,Satrovka
Jamūī,Jamui
Nahualá,Nahuala
Shuangshuicun,Shuangshuicun
Heyunkeng,Heyunkeng
Kumārapālaiyam,Kumarapalaiyam
Hānsi,Hansi
Unaí,Unai
Belladère,Belladere
Anakāpalle,Anakapalle
Tuncheng,Tuncheng
Nīmbāhera,Nimbahera
Nachchāndupatti,Nachchandupatti
Yabēlo,Yabelo
Gotenba,Gotenba
Odienné,Odienne
Kâhta,Kahta
Ibshawāy,Ibshaway
Sārni,Sarni
Shchëkino,Shchekino
Khowrāsgān,Khowrasgan
Tajrīsh,Tajrish
Sharūrah,Sharurah
Bāsoda,Basoda
Maratturai,Maratturai
Karād,Karad
Chinnachauku,Chinnachauku
Chiquinquirá,Chiquinquira
Bahlā’,Bahla'
